COMISIÓN NACIONAL DE HIDROCARBUROS,,,,,,,,
PRODUCCIÓN DE HIDROCARBUROS POR POZO,,,,,,,,
Correspondiente a la cuenca: Sabinas,,,,,,,,
Esta información se encuentra en proceso de revisión por lo que puede sufrir modificaciones.,,,,,,,,
,,,,,,,,
Actualización: 2020-05,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Fecha,Cuenca,Asignación_o_Contrato,Nombre_del_pozo,Petróleo_(Mbd),Gas_asociado_(MMpcd),Gas_no_asociado_(MMpcd),Agua_(Mbd),Condensado_(Mbd)
01-06-1979,SABINAS,,MONCLOVA-3,0.0,0.0,16.403092,0.0,0.0
01-06-1979,SABINAS,,BUENA SUERTE-2A,0.0,0.0,2.544898,0.280735,0.0
01-07-1979,SABINAS,,MONCLOVA-26,0.0,0.0,1.932538,0.012985,0.0
01-07-1979,SABINAS,,MONCLOVA-22,0.0,0.0,2.124004,0.000203,0.0
01-07-1979,SABINAS,,MONCLOVA-216,0.0,0.0,5.416212,0.0,0.0
01-07-1979,SABINAS,,MONCLOVA-2,0.0,0.0,14.602532,0.0,0.0
01-07-1979,SABINAS,,MONCLOVA-129,0.0,0.0,12.199149,0.0,0.0
01-07-1979,SABINAS,,MONCLOVA-127,0.0,0.0,19.083816,0.0,0.0
01-07-1979,SABINAS,,MONCLOVA-1,0.0,0.0,7.699516,0.000406,0.0
01-07-1979,SABINAS,,BUENA SUERTE-52,0.0,0.0,0.646581,0.0,0.0
01-07-1979,SABINAS,,BUENA SUERTE-2A,0.0,0.0,2.586322,0.285273,0.0
01-07-1979,SABINAS,,BUENA SUERTE-162,0.0,0.0,6.963224,0.0,0.0
01-07-1979,SABINAS,,BUENA SUERTE-11,0.0,0.0,9.800799,0.0,0.0
01-07-1979,SABINAS,,BUENA SUERTE-104,0.0,0.0,20.996851,0.0,0.0
01-07-1979,SABINAS,,AMULETO-1B,0.0,0.0,14.720306,0.0,0.0
01-07-1979,SABINAS,,MONCLOVA-3,0.0,0.0,15.983134,0.0,0.0
01-07-1979,SABINAS,,MONCLOVA-5,0.0,0.0,7.274715,0.0,0.0
01-08-1979,SABINAS,,BUENA SUERTE-104,0.0,0.0,16.229678,0.006898,0.0
01-08-1979,SABINAS,,AMULETO-1B,0.0,0.0,15.091738,0.001217,0.0
01-08-1979,SABINAS,,BUENA SUERTE-11,0.0,0.0,8.573628,0.001014,0.0
01-08-1979,SABINAS,,BUENA SUERTE-162,0.0,0.0,7.134839,0.000812,0.0
01-08-1979,SABINAS,,BUENA SUERTE-52,0.0,0.0,1.892505,0.0,0.0
01-08-1979,SABINAS,,MONCLOVA-1,0.0,0.0,7.755251,0.000406,0.0
01-08-1979,SABINAS,,MONCLOVA-127,0.0,0.0,18.033292,0.0,0.0
01-08-1979,SABINAS,,MONCLOVA-129,0.0,0.0,10.85794,0.001217,0.0
01-08-1979,SABINAS,,MONCLOVA-2,0.0,0.0,18.151781,0.063912,0.0
01-08-1979,SABINAS,,MONCLOVA-216,0.0,0.0,3.034664,0.0,0.0
01-08-1979,SABINAS,,MONCLOVA-22,0.0,0.0,2.416491,0.000203,0.0
01-08-1979,SABINAS,,BUENA SUERTE-2A,0.0,0.0,1.978531,0.07426,0.0
01-08-1979,SABINAS,,MONCLOVA-26,0.0,0.0,1.784347,0.001217,0.0
01-08-1979,SABINAS,,MONCLOVA-5,0.0,0.0,8.036237,0.0,0.0
01-08-1979,SABINAS,,MONCLOVA-3,0.0,0.0,16.803042,0.0,0.0
01-09-1979,SABINAS,,AMULETO-1B,0.0,0.0,15.773375,0.001258,0.0
01-09-1979,SABINAS,,BUENA SUERTE-104,0.0,0.0,20.053581,0.008596,0.0
01-09-1979,SABINAS,,BUENA SUERTE-11,0.0,0.0,9.343146,0.001258,0.0
01-09-1979,SABINAS,,BUENA SUERTE-162,0.0,0.0,7.57299,0.000839,0.0
01-09-1979,SABINAS,,BUENA SUERTE-2A,0.0,0.0,2.240836,0.084074,0.0
01-09-1979,SABINAS,,BUENA SUERTE-52,0.0,0.0,0.759606,0.0,0.0
01-09-1979,SABINAS,,BUENA SUERTE-92,0.0,0.0,5.583099,0.0,0.0
01-09-1979,SABINAS,,MONCLOVA-1,0.0,0.0,5.194126,0.00021,0.0
01-09-1979,SABINAS,,MONCLOVA-127,0.0,0.0,17.608417,0.0,0.0
01-09-1979,SABINAS,,MONCLOVA-2,0.0,0.0,12.842172,0.045077,0.0
01-09-1979,SABINAS,,MONCLOVA-216,0.0,0.0,3.035403,0.0,0.0
01-09-1979,SABINAS,,MONCLOVA-22,0.0,0.0,1.554148,0.0,0.0
01-09-1979,SABINAS,,MONCLOVA-26,0.0,0.0,1.817643,0.001258,0.0
01-09-1979,SABINAS,,MONCLOVA-3,0.0,0.0,12.792367,0.0,0.0
01-09-1979,SABINAS,,MONCLOVA-5,0.0,0.0,2.740209,0.0,0.0
01-09-1979,SABINAS,,MONCLOVA-129,0.0,0.0,10.981593,0.001258,0.0
01-10-1979,SABINAS,,MONCLOVA-5,0.0,0.0,3.573292,0.0,0.0
01-10-1979,SABINAS,,MONCLOVA-3,0.0,0.0,7.622848,0.002232,0.0
01-10-1979,SABINAS,,MONCLOVA-26,0.0,0.0,1.917749,0.0,0.0
01-10-1979,SABINAS,,MONCLOVA-22,0.0,0.0,0.952878,0.0,0.0
01-10-1979,SABINAS,,MONCLOVA-216,0.0,0.0,2.858634,0.000203,0.0
01-10-1979,SABINAS,,MONCLOVA-2,0.0,0.0,7.146585,0.014,0.0
01-10-1979,SABINAS,,AMULETO-1B,0.0,0.0,7.303936,0.002029,0.0
01-10-1979,SABINAS,,BUENA SUERTE-104,0.0,0.0,25.233086,0.011362,0.0
01-10-1979,SABINAS,,BUENA SUERTE-11,0.0,0.0,11.257713,0.001623,0.0
01-10-1979,SABINAS,,BUENA SUERTE-2A,0.0,0.0,2.850053,0.071825,0.0
01-10-1979,SABINAS,,BUENA SUERTE-52,0.0,0.0,0.712513,0.014406,0.0
01-10-1979,SABINAS,,BUENA SUERTE-92,0.0,0.0,25.660595,0.009739,0.0
01-10-1979,SABINAS,,MONCLOVA-1,0.0,0.0,3.335073,0.001014,0.0
01-10-1979,SABINAS,,MONCLOVA-127,0.0,0.0,18.257932,0.002435,0.0
01-10-1979,SABINAS,,MONCLOVA-129,0.0,0.0,11.987447,0.001623,0.0
01-10-1979,SABINAS,,BUENA SUERTE-162,0.0,0.0,8.628987,0.00142,0.0
01-11-1979,SABINAS,,MONCLOVA-1,0.0,0.0,4.0725,0.001258,0.0
01-11-1979,SABINAS,,MONCLOVA-127,0.0,0.0,17.085425,0.002306,0.0
01-11-1979,SABINAS,,MONCLOVA-129,0.0,0.0,11.126269,0.001468,0.0
01-11-1979,SABINAS,,MONCLOVA-2,0.0,0.0,9.544922,0.018869,0.0
01-11-1979,SABINAS,,MONCLOVA-216,0.0,0.0,3.499804,0.00021,0.0
01-11-1979,SABINAS,,MONCLOVA-22,0.0,0.0,0.922676,0.0,0.0
01-11-1979,SABINAS,,BUENA SUERTE-92,0.0,0.0,22.730537,0.008596,0.0
01-11-1979,SABINAS,,MONCLOVA-26,0.0,0.0,1.848092,0.0,0.0
